name,iata,icao,country,lat,lon
Stockholm Arlanda Airport,ARN,ESSA,Sweden,59.653545,17.939816
Stockholm Bromma Airport,BMA,ESSB,Sweden,59.35437,17.94165
Stockholm Ska-Edeby Airport,QMS,ESSE,Sweden,59.344051,17.741911
Stockholm Skavsta Airport,NYO,ESKN,Sweden,58.788631,16.91218
Stockholm Vasteras Hasslo Airport,VST,ESOW,Sweden,59.589439,16.63361
Stockton Metropolitan Airport,SCK,KSCK,United States,37.894161,-121.237999
Stokmarknes Skagen Airport,SKN,ENSK,Norway,68.580833,15.02611
Stony Rapids Airport,YSF,CYSF,Canada,59.25,-105.841003
Stony River Airport,SRV,PSRV,United States,61.789146,-156.588959
Stord Sorstokken Airport,SRP,ENSO,Norway,59.79192,5.34085
Storm Lake Municipal Airport,SLB,KSLB,United States,42.601662,-95.241089
Stornoway Airport,SYY,EGPO,United Kingdom,58.215549,-6.33111
Strahan Airport,SRN,YSRN,Australia,-42.154999,145.292007
Stralsund Barth Airport,BBH,EDBH,Germany,54.338089,12.714172
Strasbourg Airport,SXB,LFST,France,48.538326,7.628381
Straubing Wallmuehle Airport,RBM,EDMS,Germany,48.900833,12.516667
Strausberg Airport,QES,EDAY,Germany,52.580013,13.915923
Streaky Bay Airport,KBY,YKBY,Australia,-32.836086,134.292313
Strezhevoy Airport,SWT,UNSS,Russia,60.7094,77.660004
Stronsay Airport,SOY,EGER,United Kingdom,59.154053,-2.640495
Stuart Witham Field Airport,SUA,KSUA,United States,27.182892,-80.22168
Sturgeon Bay Door County Cherryland Airport,SUE,KSUE,United States,44.843887,-87.421387
Sturgis Kirsch Municipal Airport,IRS,KIRS,United States,41.811413,-85.440887
Stuttgart Airport,STR,EDDS,Germany,48.689869,9.221964
Stuttgart Municipal Airport,SGT,KSGT,United States,34.596127,-91.578819
Suai Airport,UAI,WPDB,Timor-Leste (East Timor),-9.30331,125.287003
Suavanao Airport,VAO,AGGV,Solomon Islands,-7.585496,158.731049
Subic Bay International Airport,SFS,RPLB,Philippines,14.79416,120.270836
Suceava International Airport,SCV,LRSV,Romania,47.6875,26.35405
Sucre Alcantari International Airport,SRE,SLAL,Bolivia,-19.246836,-65.149612
Sudbury Airport,YSB,CYSB,Canada,46.625,-80.798798
Suifenhe Dongning Airport,HSF,ZYSD,China,44.454147,130.843735
Sukhothai Airport,THS,VTPO,Thailand,17.223057,99.82222
Sukhumi Babushara Airport,SUI,UGSS,Georgia,42.858257,41.127899
Sukkur Airport,SKZ,OPSK,Pakistan,27.721979,68.791679
Sulaimaniyah International Airport,ISU,ORSU,Iraq,35.560799,45.314716
Sullivan County Airport,SIV,KSIV,United States,39.11425,-87.448326
Sulphur Springs Airport,SLR,KSLR,United States,33.160034,-95.621101
Sumbawa Besar Airport,SWQ,WADS,Indonesia,-8.489621,117.41217
Sumbe Airport,NDD,FNSU,Angola,-11.167942,13.847747
Sumburgh Airport,LSI,EGPB,United Kingdom,59.87888,-1.29555
Sumenep Trunojoyo Airport,SUP,WART,Indonesia,-7.0242,113.890228
Summer Beaver Airport,SUR,CJV7,Canada,52.708416,-88.54184
Summerside Airport,YSU,CYSU,Canada,46.440376,-63.833599
Summit Airport,UMM,PAST,United States,63.331501,-149.126999
Sumter Airport,SUM,KSMS,United States,33.993317,-80.361992
Sumter Shaw Air Force Base,SSC,KSSC,United States,33.97324,-80.471924
Sun City Pilanesberg International Airport,NTY,FAPN,South Africa,-25.333799,27.173349
